,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
561,756.0,923.15,6.75,150.0,0.0325,0.0875,0.2144999999999927,1.3334838450565314,0.64100008778621,8.000387005181576
78,130.0,873.15,6.75,150.0,0.0325,0.05,0.3726999999999753,1.3335918615036606,0.6409951822725967,8.000664713074926
1938,2506.0,1073.15,4.0,150.0,0.0325,0.0875,0.638799999999946,1.3336441642696673,0.6409939138810458,8.00079917309012
81,133.0,873.15,6.75,150.0,0.0325,0.1625,0.3544999999999773,1.3335765809157003,0.6409800240261836,8.000625428582955
1939,2507.0,1073.15,4.0,150.0,0.0325,0.125,0.6144999999999486,1.3336297245906192,0.6409773204019201,8.000762052147753
80,132.0,873.15,6.75,150.0,0.0325,0.125,0.3550999999999772,1.3335770820554744,0.6409772631422578,8.000626716959164
1448,1883.0,1023.15,4.0,150.0,0.0325,0.1625,0.8258999999999254,1.3337960759479668,0.6409569971686775,8.001189673646497
1447,1882.0,1023.15,4.0,150.0,0.0325,0.125,0.8371999999999241,1.3338038209657268,0.6409516188886989,8.001209581443415
1449,1884.0,1023.15,4.0,150.0,0.0325,0.2,0.8215999999999258,1.3337931367084943,0.6409434586565745,8.001182118589496
1446,1881.0,1023.15,4.0,150.0,0.0325,0.0875,0.8814999999999192,1.3338344185913928,0.6409329585315874,8.00128822830124
1937,2505.0,1073.15,4.0,150.0,0.0325,0.05,1.029899999999903,1.333891760427258,0.6409181136498652,8.001435611805311
962,1258.0,973.15,4.0,150.0,0.0325,0.1625,1.1883999999998855,1.3340853537572863,0.6408905515697201,8.001933143762868
963,1259.0,973.15,4.0,150.0,0.0325,0.2,1.1798999999998865,1.3340788238324517,0.6408759340930038,8.001916363298962
961,1257.0,973.15,4.0,150.0,0.0325,0.125,1.210999999999883,1.3341027757335722,0.6408704247234727,8.001977913933091
960,1256.0,973.15,4.0,150.0,0.0325,0.0875,1.3042999999998728,1.3341754506037662,0.6408598481006709,8.002164663166793
481,634.0,923.15,4.0,150.0,0.0325,0.2,1.821999999999816,1.3345623022730368,0.6407838308401103,8.003158542237582
480,633.0,923.15,4.0,150.0,0.0325,0.1625,1.8412999999998136,1.334578054419828,0.6407765843319435,8.003199004850183
479,632.0,923.15,4.0,150.0,0.0325,0.125,1.894499999999808,1.3346216565516809,0.6407652032661567,8.003311003000563
478,631.0,923.15,4.0,150.0,0.0325,0.0875,2.1353000000000817,1.3348221739656974,0.6407267300187579,8.003826006063239
3,9.0,873.15,4.0,150.0,0.0325,0.2,3.062900000002039,1.3353460644001909,0.6406184529898601,8.005171133557125
2,8.0,873.15,4.0,150.0,0.0325,0.1625,3.115800000002151,1.3353879044297816,0.6406083556164537,8.005278534908442
1,7.0,873.15,4.0,150.0,0.0325,0.125,3.268100000002472,1.3355091624756406,0.6405837131426383,8.005589776766294
0,6.0,873.15,4.0,150.0,0.0325,0.0875,4.146200000003676,1.336228420490528,0.6404307946665444,8.00743528449137
1861,2409.0,1023.15,15.0,187.5,0.0325,0.2,0.0029999999999999,1.333334623749039,0.5185090709417046,8.000003318209984
1860,2408.0,1023.15,15.0,187.5,0.0325,0.1625,0.0029999999999999,1.333334623749295,0.5185085716518034,8.000003318210638
1859,2407.0,1023.15,15.0,187.5,0.0325,0.125,0.0029999999999999,1.333334623749955,0.5185072846792376,8.000003318212334
1858,2406.0,1023.15,15.0,187.5,0.0325,0.0875,0.0029999999999999,1.3333346237522683,0.5185027675988472,8.000003318218283
1857,2405.0,1023.15,15.0,187.5,0.0325,0.05,0.0029999999999999,1.3333346237675976,0.5184728461079039,8.0000033182577
884,1159.0,923.15,15.0,187.5,0.0325,0.2,0.0064,1.333336737829126,0.5155697477717361,8.000008754404988
883,1158.0,923.15,15.0,187.5,0.0325,0.1625,0.0064,1.333336737830422,0.5155687885947557,8.000008754408311
882,1157.0,923.15,15.0,187.5,0.0325,0.125,0.0064,1.3333367378337664,0.5155663162549358,8.000008754416918
881,1156.0,923.15,15.0,187.5,0.0325,0.0875,0.0064,1.3333367378455014,0.5155576388074952,8.00000875444708
880,1155.0,923.15,15.0,187.5,0.0325,0.05,0.0064,1.3333367379232566,0.5155001584664182,8.00000875464703
2256,2909.0,1073.15,12.25,187.5,0.0325,0.2,0.005,1.3333351600868215,0.5152368759081358,8.000004697362435
2255,2908.0,1073.15,12.25,187.5,0.0325,0.1625,0.005,1.3333351600877632,0.5152355618977905,8.000004697364858
2254,2907.0,1073.15,12.25,187.5,0.0325,0.125,0.005,1.3333351600901922,0.5152321748481238,8.000004697371102
2253,2906.0,1073.15,12.25,187.5,0.0325,0.0875,0.005,1.3333351600987198,0.5152202866467451,8.000004697393031
2252,2905.0,1073.15,12.25,187.5,0.0325,0.05,0.005,1.333335160155217,0.5151415359901995,8.000004697538305
1370,1784.0,973.15,15.0,187.5,0.0325,0.2,0.0041999999999999,1.3333353955113945,0.5150517376017244,8.000005302738904
1369,1783.0,973.15,15.0,187.5,0.0325,0.1625,0.0041999999999999,1.3333353955119382,0.5150510736317925,8.000005302740298
1368,1782.0,973.15,15.0,187.5,0.0325,0.125,0.0041999999999999,1.333335395513342,0.515049362191145,8.00000530274391
1367,1781.0,973.15,15.0,187.5,0.0325,0.0875,0.0041999999999999,1.3333353955182676,0.5150433553207653,8.000005302756572
2356,3034.0,1073.15,15.0,187.5,0.0325,0.2,0.0022,1.333334134692305,0.5150406436563095,8.000002060636646
2355,3033.0,1073.15,15.0,187.5,0.0325,0.1625,0.0022,1.3333341346924306,0.5150402609011615,8.00000206063697
2354,3032.0,1073.15,15.0,187.5,0.0325,0.125,0.0022,1.3333341346927534,0.5150392743039136,8.0000020606378
2353,3031.0,1073.15,15.0,187.5,0.0325,0.0875,0.0022,1.3333341346938876,0.5150358114829852,8.00000206064072
2352,3030.0,1073.15,15.0,187.5,0.0325,0.05,0.0022,1.3333341347013994,0.5150128735048238,8.000002060660028
1366,1780.0,973.15,15.0,187.5,0.0325,0.05,0.0041999999999999,1.3333353955508942,0.5150035653182734,8.000005302840474
1761,2284.0,1023.15,12.25,187.5,0.0325,0.2,0.0067,1.3333362088897245,0.5145662399004399,8.000007394278752
1760,2283.0,1023.15,12.25,187.5,0.0325,0.1625,0.0067,1.333336208891604,0.5145645619158782,8.000007394283585
1759,2282.0,1023.15,12.25,187.5,0.0325,0.125,0.0067,1.3333362088964449,0.5145602366841133,8.000007394296032
1758,2281.0,1023.15,12.25,187.5,0.0325,0.0875,0.0067,1.3333362089134355,0.5145450555746688,8.000007394339717
1270,1659.0,973.15,12.25,187.5,0.0325,0.2,0.0094999999999999,1.3333379879043985,0.5144668676176988,8.000011968873162
1269,1658.0,973.15,12.25,187.5,0.0325,0.1625,0.0094999999999999,1.3333379879084732,0.514464606829326,8.000011968883618
1268,1657.0,973.15,12.25,187.5,0.0325,0.125,0.0094999999999999,1.3333379879189728,0.5144587793656222,8.00001196891063
1757,2280.0,1023.15,12.25,187.5,0.0325,0.05,0.0067,1.3333362090260314,0.514444490950921,8.000007394629248
2156,2784.0,1073.15,9.5,187.5,0.0325,0.2,0.0138999999999999,1.3333383977094144,0.5144391185461678,8.000013022653093
1267,1656.0,973.15,12.25,187.5,0.0325,0.0875,0.0094999999999999,1.33333798795583,0.5144383255983551,8.000011969005401
2155,2783.0,1073.15,9.5,187.5,0.0325,0.1625,0.0138999999999999,1.3333383977212192,0.5144330213627233,8.000013022683437
2154,2782.0,1073.15,9.5,187.5,0.0325,0.125,0.0138999999999999,1.3333383977516473,0.5144173047947346,8.000013022761678
2153,2781.0,1073.15,9.5,187.5,0.0325,0.0875,0.0138999999999999,1.3333383978584674,0.514362139740405,8.000013023036367
1266,1655.0,973.15,12.25,187.5,0.0325,0.05,0.0094999999999999,1.3333379882001088,0.5143028312024128,8.000011969633547
402,534.0,873.15,15.0,187.5,0.0325,0.2,0.0104999999999999,1.333338846200888,0.5142104430390686,8.00001417591165
401,533.0,873.15,15.0,187.5,0.0325,0.1625,0.0104999999999999,1.3333388462042115,0.5142089588810134,8.000014175920192
400,532.0,873.15,15.0,187.5,0.0325,0.125,0.0104999999999999,1.3333388462127822,0.5142051334091898,8.000014175942225
399,531.0,873.15,15.0,187.5,0.0325,0.0875,0.0104999999999999,1.3333388462428597,0.5141917068045113,8.000014176019567
1657,2155.0,1023.15,9.5,187.5,0.0325,0.05,0.0186999999999999,1.3333413284101745,0.5141334219922896,8.00002055869858
398,530.0,873.15,15.0,187.5,0.0325,0.05,0.0104999999999999,1.3333388464421954,0.5141027666748932,8.00001417653215
2152,2780.0,1073.15,9.5,187.5,0.0325,0.05,0.0138999999999999,1.333338398567241,0.5139966621098461,8.000013024858909
298,405.0,873.15,12.25,187.5,0.0325,0.05,0.0237999999999999,1.3333457622503202,0.5138488377926103,8.000031959902001
784,1034.0,923.15,12.25,187.5,0.0325,0.2,0.0143999999999999,1.3333409554627529,0.5137313610046242,8.000019599697339
783,1033.0,923.15,12.25,187.5,0.0325,0.1625,0.0143999999999999,1.3333409554723887,0.5137281176439306,8.000019599722124
782,1032.0,923.15,12.25,187.5,0.0325,0.125,0.0143999999999999,1.3333409554972246,0.5137197575187402,8.000019599785977
781,1031.0,923.15,12.25,187.5,0.0325,0.0875,0.0143999999999999,1.333340955584407,0.513690414385188,8.000019600010152
1166,1530.0,973.15,9.5,187.5,0.0325,0.05,0.0264999999999998,1.3333462400316154,0.5135441394562942,8.000033188469143
780,1030.0,923.15,12.25,187.5,0.0325,0.05,0.0143999999999999,1.3333409561624006,0.5134960281044647,8.000019601496417
1170,1534.0,973.15,9.5,187.5,0.0325,0.2,0.0263999999999998,1.3333461797780946,0.5133583317976917,8.000033033533226
681,906.0,923.15,9.5,187.5,0.0325,0.0875,0.0402000000000001,1.3333544381173197,0.51335705286105,8.000054268953676
1661,2159.0,1023.15,9.5,187.5,0.0325,0.2,0.0185999999999999,1.3333412769528294,0.513350228634915,8.000020426380596
1169,1533.0,973.15,9.5,187.5,0.0325,0.1625,0.0263999999999998,1.3333461798289314,0.5133478596582061,8.00003303366396
1660,2158.0,1023.15,9.5,187.5,0.0325,0.1625,0.0185999999999999,1.3333412769762767,0.5133424603607707,8.000020426440884
1659,2157.0,1023.15,9.5,187.5,0.0325,0.125,0.0185999999999999,1.33334127703672,0.5133224362564717,8.000020426596313
1168,1532.0,973.15,9.5,187.5,0.0325,0.125,0.0263999999999998,1.3333461799599773,0.5133208658311639,8.000033034000927
1658,2156.0,1023.15,9.5,187.5,0.0325,0.0875,0.0185999999999999,1.3333412772489268,0.5132521513400198,8.000020427141969
2055,2658.0,1073.15,6.75,187.5,0.0325,0.1625,0.0549000000000005,1.3333531563944705,0.5132402403489406,8.000050973152732
1167,1531.0,973.15,9.5,187.5,0.0325,0.0875,0.0263999999999998,1.3333461804201403,0.5132261160383685,8.000033035184181
200,282.0,873.15,9.5,187.5,0.0325,0.125,0.0663000000000008,1.333367588847003,0.5131698939201776,8.000088084313415
